GT,Features1,Features2
5,-2.5096912,-21.43951
0,-51.1939,-47.408203
4,14.874041,56.758377
1,-50.714,29.125555
9,-20.663624,44.52313
2,76.24346,9.208326
1,-48.57241,27.1332
3,47.347,39.277313
1,-50.236515,29.942434
4,19.835274,59.948112
3,35.369884,31.508482
5,-11.161997,-44.47485
3,50.18906,45.81007
6,35.85384,-81.739426
1,-54.471745,33.802036
7,-47.807617,-4.0396214
2,70.23849,6.8246374
8,51.345505,-25.341757
6,25.239676,-59.78616
9,-14.339168,31.430891
4,12.8071,52.458916
0,-40.763283,-38.9651
9,-16.126772,37.110912
1,-49.211338,29.972048
1,-31.719625,16.427668
2,51.05635,9.814633
4,14.3492,67.08504
3,51.399628,49.091248
2,39.0432,5.4811354
7,-20.186321,-2.9941196
3,29.582176,31.893423
8,46.165657,-24.554752
6,24.158207,-74.96854
9,-15.498701,41.371147
0,-36.98326,-34.83121
5,-9.677606,-47.924664
6,25.790482,-58.5618
0,-41.875523,-40.16479
7,-47.97847,-9.107734
6,19.302639,-55.088634
1,-59.70532,30.581806
8,63.132217,-36.583973
7,-42.37472,-2.7146916
9,-19.52332,40.48861
3,39.818336,33.248573
9,-25.431362,52.202633
8,58.68184,-38.879425
5,-16.963737,-58.88638
9,-11.344671,23.61904
3,54.150578,54.00307
3,55.833103,51.925186
0,-39.080124,-36.040154
7,-39.497368,-2.9870017
4,7.7781982,55.841938
9,-10.684407,42.02529
8,49.363308,-26.762972
0,-47.804478,-45.399982
9,-26.707,58.998753
4,14.812553,65.145676
1,-53.21493,30.713644
4,13.153008,65.003174
4,12.910278,66.97538
6,23.112507,-54.611378
0,-24.265642,-22.791027
4,14.103294,67.36634
5,-10.186723,-45.54736
6,30.695732,-84.99137
1,-29.463459,14.994649
0,-41.06598,-36.232162
0,-33.933132,-32.92475
1,-27.573847,14.644611
7,-40.81162,-4.9491673
1,-51.129475,29.201582
6,25.03398,-63.56253
3,42.818962,33.764404
0,-45.874905,-38.537266
2,63.25609,9.9720745
1,-52.839325,31.841455
